timestamp_iso,unix_time,value
2025-10-03T10:33:46.848695,1759487626.848695,
2025-10-03T10:33:48.939023,1759487628.939023,
2025-10-03T10:33:51.029253,1759487631.029253,
2025-10-03T10:33:53.119437,1759487633.119437,
2025-10-03T10:33:55.209612,1759487635.209612,
2025-10-03T10:33:57.299793,1759487637.299793,
2025-10-03T10:33:59.389975,1759487639.389975,
2025-10-03T10:34:01.480160,1759487641.480160,
2025-10-03T10:34:03.570452,1759487643.570452,
2025-10-03T10:34:05.660956,1759487645.660956,
2025-10-03T10:34:07.754664,1759487647.754664,
2025-10-03T10:34:09.845050,1759487649.845050,
2025-10-03T10:34:11.936375,1759487651.936375,
2025-10-03T10:34:14.031475,1759487654.031475,
2025-10-03T10:34:16.121775,1759487656.121775,
2025-10-03T10:34:18.211953,1759487658.211953,
2025-10-03T10:34:20.302134,1759487660.302134,
2025-10-03T10:34:22.392310,1759487662.392310,
2025-10-03T10:34:24.482545,1759487664.482545,
2025-10-03T10:34:26.572835,1759487666.572835,
2025-10-03T10:34:28.663208,1759487668.663208,
2025-10-03T10:34:30.753488,1759487670.753488,
2025-10-03T10:34:32.843664,1759487672.843664,
2025-10-03T10:34:34.933910,1759487674.933910,
2025-10-03T10:34:37.024204,1759487677.024204,
2025-10-03T10:34:39.114524,1759487679.114524,
2025-10-03T10:34:41.205031,1759487681.205031,
2025-10-03T10:34:43.295209,1759487683.295209,
2025-10-03T10:34:45.385377,1759487685.385377,
2025-10-03T10:34:47.475539,1759487687.475539,
2025-10-03T10:34:49.565840,1759487689.565840,
2025-10-03T10:34:51.656147,1759487691.656147,
2025-10-03T10:34:53.746314,1759487693.746314,
2025-10-03T10:34:55.836478,1759487695.836478,
2025-10-03T10:34:57.926642,1759487697.926642,
2025-10-03T10:35:00.016815,1759487700.016815,
2025-10-03T10:35:02.106978,1759487702.106978,
2025-10-03T10:35:04.197140,1759487704.197140,1.567557430999841
2025-10-03T10:35:05.854856,1759487705.854856,3.5920002119382843e-06
2025-10-03T10:35:05.945011,1759487705.945011,4.925999746774323e-06
2025-10-03T10:35:06.035361,1759487706.035361,2.6611000066623092e-05
2025-10-03T10:35:06.125772,1759487706.125772,6.59200031805085e-06
2025-10-03T10:35:06.215947,1759487706.215947,5.017999683332164e-06
2025-10-03T10:35:06.306107,1759487706.306107,4.57399983133655e-06
2025-10-03T10:35:06.396260,1759487706.396260,4.6110008042887785e-06
2025-10-03T10:35:06.486413,1759487706.486413,6.75999945087824e-06
2025-10-03T10:35:06.576584,1759487706.576584,3.185000423400197e-06
2025-10-03T10:35:06.666734,1759487706.666734,2.9259999791975133e-06
2025-10-03T10:35:06.756883,1759487706.756883,4.369999260234181e-06
2025-10-03T10:35:06.847034,1759487706.847034,3.9439992178813554e-06
2025-10-03T10:35:06.937324,1759487706.937324,1.3629000022774562e-05
2025-10-03T10:35:07.027589,1759487707.027589,7.943999662529677e-06
2025-10-03T10:35:07.117783,1759487707.117783,5.795999641122762e-06
2025-10-03T10:35:07.207962,1759487707.207962,5.591999979515094e-06
